-------------------------------
---------- timestamp ----------
Timestamp: 2023-04-03T19:01:05+00
Uptime: 3 days,  4:52
REG: 0x00 Value: 0x1A
REG: 0x01 Value: 0x04
REG: 0x02 Value: 0xCE
REG: 0x03 Value: 0x00
REG: 0x04 Value: 0x64
REG: 0x05 Value: 0xB2
REG: 0x06 Value: 0x01
REG: 0x07 Value: 0x45
REG: 0x08 Value: 0xC3
REG: 0x09 Value: 0x05
REG: 0x0A Value: 0xA3
REG: 0x0B Value: 0x00
REG: 0x0C Value: 0xDC
REG: 0x0D Value: 0x4B
REG: 0x0E Value: 0x3F
REG: 0x0F Value: 0xA2
REG: 0x10 Value: 0x00
REG: 0x11 Value: 0x40
REG: 0x12 Value: 0x00
REG: 0x13 Value: 0x21
REG: 0x14 Value: 0x97
REG: 0x15 Value: 0x00
REG: 0x16 Value: 0xD0
REG: 0x17 Value: 0x00
REG: 0x18 Value: 0x14
REG: 0x19 Value: 0x01
REG: 0x1A Value: 0x2C
REG: 0x1B Value: 0x0F
REG: 0x1C Value: 0xEB
REG: 0x1D Value: 0x01
REG: 0x1E Value: 0x20
REG: 0x1F Value: 0x00
REG: 0x20 Value: 0x00
REG: 0x21 Value: 0x00
REG: 0x22 Value: 0x00
REG: 0x23 Value: 0x00
REG: 0x24 Value: 0x00
REG: 0x25 Value: 0x00
REG: 0x26 Value: 0x00
REG: 0x27 Value: 0x00
REG: 0x28 Value: 0x26
REG: 0x29 Value: 0x51
REG: 0x2A Value: 0x60
REG: 0x2B Value: 0x1F
REG: 0x2C Value: 0x03
REG: 0x2D Value: 0x30
REG: 0x2E Value: 0x40
REG: 0x2F Value: 0x01
REG: 0x30 Value: 0x00
REG: 0x31 Value: 0x00
REG: 0x32 Value: 0xA7
REG: 0x33 Value: 0x00
REG: 0x34 Value: 0x3D
REG: 0x35 Value: 0x4A
REG: 0x36 Value: 0xF7
REG: 0x37 Value: 0x4B
REG: 0x38 Value: 0x21
REG: 0x39 Value: 0x4B
REG: 0x3A Value: 0x09
REG: 0x3B Value: 0x30
REG: 0x3C Value: 0x1A
REG: 0x3D Value: 0x31
REG: 0x3E Value: 0x0D
REG: 0x3F Value: 0x02
REG: 0x40 Value: 0x43
REG: 0x41 Value: 0x00
REG: 0x42 Value: 0x29
REG: 0x43 Value: 0x00
REG: 0x44 Value: 0x00
REG: 0x45 Value: 0x00
REG: 0x46 Value: 0x00
REG: 0x47 Value: 0x00
REG: 0x48 Value: 0x60
REG: 0x49 Value: 0x00
REG: 0x4A Value: 0x76
REG: 0x4B Value: 0x00
REG: 0x4C Value: 0x4C
REG: 0x4D Value: 0x00
REG: 0x4E Value: 0xFF
REG: 0x4F Value: 0x00
REG: 0x50 Value: 0x21
REG: 0x51 Value: 0xF1
REG: 0x52 Value: 0xC6
REG: 0x53 Value: 0x00
REG: 0x54 Value: 0x04
REG: 0x55 Value: 0x00
REG: 0x56 Value: 0x35
REG: 0x57 Value: 0xB5
REG: 0x58 Value: 0xF5
REG: 0x59 Value: 0x00
REG: 0x5A Value: 0x00
REG: 0x5B Value: 0x01
REG: 0x5C Value: 0x00
REG: 0x5D Value: 0x00
REG: 0x5E Value: 0x00
REG: 0x5F Value: 0x08
REG: 0x60 Value: 0x00
REG: 0x61 Value: 0x1E
REG: 0x62 Value: 0x00
REG: 0x63 Value: 0x6C
REG: 0x64 Value: 0xAA
REG: 0x65 Value: 0xAA
REG: 0x66 Value: 0x00
REG: 0x67 Value: 0x00
REG: 0x68 Value: 0xF0
REG: 0x69 Value: 0x00
REG: 0x6A Value: 0x21
REG: 0x6B Value: 0x00
REG: 0x6C Value: 0x00
REG: 0x6D Value: 0x00
REG: 0x6E Value: 0x00
REG: 0x6F Value: 0x7E
REG: 0x70 Value: 0xD8
REG: 0x71 Value: 0x22
REG: 0x72 Value: 0x00
REG: 0x73 Value: 0x00
REG: 0x74 Value: 0x00
REG: 0x75 Value: 0x00
REG: 0x76 Value: 0x00
REG: 0x77 Value: 0x00
REG: 0x78 Value: 0x00
REG: 0x79 Value: 0x08
REG: 0x7A Value: 0x00
REG: 0x7B Value: 0x00
REG: 0x7C Value: 0x00
REG: 0x7D Value: 0x00
REG: 0x7E Value: 0x00
REG: 0x7F Value: 0x00
